"index","round_1","round_2","round_3","round_4","round_5","round_6","round_7","round_8","round_9","round_10","round_11","round_12","round_13","round_14","round_15","round_16","round_17","round_18","round_19","round_20","round_21","round_22","round_23","round_24","round_25","round_26","round_27","round_28","round_29"
249,3510,1296,3328,4235,3925,2414,1743,928,1106,711,696,276,297,274,275,320,275,430,291,486,607,636,484,292,69,121,390,374,607
250,143,83,43,39,45,33,43,31,46,37,31,44,30,16,33,23,37,34,29,370,404,462,436,632,99,129,204,98,89
251,NA,NA,119,58,69,66,46,39,49,47,55,329,1419,3126,3970,30029,13401,7722,1657,1846,5277,4378,3577,2792,878,699,1623,1778,2164
252,10229,15504,22499,22878,24287,15581,27250,11158,60404,30784,20720,8814,5844,4904,3975,2352,2403,2643,872,747,536,1257,2200,2198,406,1156,1902,1298,1317
253,6540,5851,3335,1906,2243,2182,2227,1392,7974,1417,2152,2454,1069,1700,1018,1834,1037,1148,1528,1941,2206,5337,5379,16856,3005,4221,3940,3588,4484
254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,123,131,179,151,265,202,203,44,126,274,170,172
255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,210,545,752,569,488
256,1213,693,2270,1182,1225,1436,1733,876,1541,937,1443,1329,728,1430,756,1201,710,1155,1245,1363,1410,3769,1684,3440,1008,1230,1080,695,525
257,13626,18618,46642,87004,69674,61046,115771,53213,97389,59238,81395,70837,29696,28992,16799,36547,20062,25192,28262,27235,41387,55542,57854,43161,6862,7189,23164,30455,29876
258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,184,133,144
259,20653,16251,9730,5477,4147,3636,3818,1683,2236,1341,1576,1312,1214,1219,1234,942,946,1017,687,980,440,998,570,642,120,164,368,281,295
260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,89,79,158,116,157,119,180,142,125,35,80,103,49,37
261,1033,6676,16477,21332,30634,17742,20993,9693,10599,5511,5993,4896,2727,2382,1861,2143,1353,1748,1600,2680,1643,2903,1886,1609,284,432,985,589,580
262,892,2220,3286,3111,2604,1460,1112,467,612,390,414,240,214,228,235,199,210,247,149,207,195,336,151,135,23,47,107,39,44
263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,213,308,128,200,182,95,72
264,1087,1237,968,557,617,554,425,222,328,422,525,262,208,186,206,116,125,155,96,153,97,225,135,116,31,56,213,125,260
265,1222,1742,1049,1606,3171,2099,1275,611,708,503,539,297,254,260,205,141,124,253,321,554,715,1877,751,849,133,265,1723,992,3293
266,2442,2568,3087,2182,2663,3870,5931,2564,10183,8581,4655,3505,3676,5273,2053,952,975,4705,11499,22290,13890,37445,14596,24436,3415,5866,9579,6049,6381
267,12470,10240,11616,4183,4383,6601,6832,4759,11795,23340,16943,7521,5207,4429,4002,2266,2132,2335,1494,1766,669,1651,918,731,162,121,351,437,363
268,1178,1822,1493,908,866,741,881,820,997,869,761,431,330,506,404,416,564,1718,3373,10641,5568,10854,6643,47996,10065,5075,6057,2787,2246
269,4805,4453,4547,3570,4035,2196,2631,1453,1758,987,1166,825,666,1026,710,1337,1971,5198,10230,38710,18858,30378,18488,21284,5501,8492,17717,10040,31603
270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,2,2,0
271,6676,22583,9958,1654,1688,2476,1632,970,2206,3921,1601,960,818,2082,1715,285,1356,658,741,1726,893,2504,2073,1350,205,142,581,155,568
272,19,139,193,188,222,140,139,75,93,51,68,56,66,48,55,50,64,79,67,99,72,257,232,161,29,57,152,84,113
