"FirstName_1","Surname_1","PositionsList.x","Team","index","PositionsList.y","points"
"Callum","Wilson","FWD","BOU",551,"FWD",2
"Chris","Wood","FWD","BUR",555,"FWD",15
"Alvaro","Morata","FWD","CHE",559,"FWD",0
"Oumar","Niasse","FWD","EVE",566,"FWD",0
"Marcus","Rashford","FWD","MUN",585,"FWD",12
"Loris","Karius","GLK","LIV",32,"GLK",6
"Mamadou","Sakho","DEF","CRY",121,"DEF",7
"James","Tomkins","DEF","CRY",124,"DEF",15
"Leighton","Baines","DEF","EVE",127,"DEF",2
"Andrew","Robertson","DEF","LIV",166,"DEF",11
"Jordon","Ibe","MID","BOU",304,"MID",10
"Junior","Stanislas","MID","BOU",308,"MID",10
"Luka","Milivojevic","MID","CRY",345,"MID",10
"Mohamed","Salah","MID","LIV",400,"MID",87
"Will","Hughes","MID","WAT",501,"MID",1
"Callum","Wilson","FWD","BOU",551,"FWD",2
"Alvaro","Morata","FWD","CHE",559,"FWD",0
"Oumar","Niasse","FWD","EVE",566,"FWD",0
"Cenk","Tosun","FWD","EVE",569,"FWD",13
"Jay","Rodriguez","FWD","WBA",615,"FWD",7
"Kasper","Schmeichel","GLK","LEI",31,"GLK",15
"Benjamin","Chilwell","DEF","LEI",150,"DEF",11
"Andrew","Robertson","DEF","LIV",166,"DEF",8
"Chris","Smalling","DEF","MUN",184,"DEF",6
"Luka","Milivojevic","MID","CRY",345,"MID",9
"David","Silva","MID","MCI",405,"MID",11
"Alexis","Sanchez","MID","MUN",428,"MID",14
"Bamidele","Alli","MID","TOT",481,"MID",15
"Will","Hughes","MID","WAT",501,"MID",7
"Marko","Arnautovic","MID","WHU",523,"MID",32
"Pierre-Emerick","Aubameyang","FWD","ARS",537,"FWD",13
"Callum","Wilson","FWD","BOU",551,"FWD",2
"Chris","Wood","FWD","BUR",555,"FWD",9
"Alvaro","Morata","FWD","CHE",559,"FWD",6
"Oumar","Niasse","FWD","EVE",566,"FWD",1
"Jordan","Pickford","GLK","EVE",23,"GLK",10
"Cesar","Azpilicueta","DEF","CHE",105,"DEF",11
"Leighton","Baines","DEF","EVE",127,"DEF",6
"Chris","Smalling","DEF","MUN",184,"DEF",7
"Luka","Milivojevic","MID","CRY",345,"MID",10
"Paul","Pogba","MID","MUN",427,"MID",14
"Alexis","Sanchez","MID","MUN",428,"MID",10
"Christian","Eriksen","MID","TOT",484,"MID",15
"Will","Hughes","MID","WAT",501,"MID",2
"Danny","Welbeck","FWD","ARS",541,"FWD",32
"Callum","Wilson","FWD","BOU",551,"FWD",2
"Alvaro","Morata","FWD","CHE",559,"FWD",5
"Oumar","Niasse","FWD","EVE",566,"FWD",0
"Ayoze","Perez","FWD","NEW",590,"FWD",12
"Jay","Rodriguez","FWD","WBA",615,"FWD",8
"Loris","Karius","GLK","LIV",32,"GLK",6
"Victor","Moses","DEF","CHE",110,"DEF",15
"Chris","Smalling","DEF","MUN",184,"DEF",32
"Jan","Bednarek","DEF","SOU",197,"DEF",13
"Johann Berg","Gudmundsson","MID","BUR",315,"MID",13
"Wilfried","Zaha","MID","CRY",352,"MID",14
"Raheem","Sterling","MID","MCI",415,"MID",10
"Christian","Eriksen","MID","TOT",484,"MID",9
"Will","Hughes","MID","WAT",501,"MID",3
"Callum","Wilson","FWD","BOU",551,"FWD",3
"Olivier","Giroud","FWD","CHE",558,"FWD",14
"Alvaro","Morata","FWD","CHE",559,"FWD",4
"Oumar","Niasse","FWD","EVE",566,"FWD",0
"Ayoze","Perez","FWD","NEW",590,"FWD",12
"Jay","Rodriguez","FWD","WBA",615,"FWD",9
"Wayne","Hennessey","GLK","CRY",20,"GLK",10
"Nacho","Monreal","DEF","ARS",78,"DEF",9
"Mamadou","Sakho","DEF","CRY",121,"DEF",8
"Leighton","Baines","DEF","EVE",127,"DEF",8
"Aaron","Ramsey","MID","ARS",282,"MID",12
"Bernardo","Silva","MID","MCI",404,"MID",11
"David","Silva","MID","MCI",405,"MID",10
"Raheem","Sterling","MID","MCI",415,"MID",11
"Will","Hughes","MID","WAT",501,"MID",3
"Jake","Livermore","MID","WBA",517,"MID",10
"Alexandre","Lacazette","FWD","ARS",538,"FWD",26
"Callum","Wilson","FWD","BOU",551,"FWD",0
"Alvaro","Morata","FWD","CHE",559,"FWD",0
"Oumar","Niasse","FWD","EVE",566,"FWD",1
"Salomon","Rondon","FWD","WBA",616,"FWD",9
