"index","round_1","round_2","round_3","round_4","round_5","round_6","round_7","round_8","round_9","round_10","round_11","round_12","round_13","round_14","round_15","round_16","round_17","round_18","round_19","round_20","round_21","round_22","round_23","round_24","round_25","round_26","round_27","round_28","round_29","round_30","round_31","round_32","round_33","round_34","round_35"
570,0,0,0,1,10,12,14,16,25,27,29,31,33,34,36,37,42,55,64,65,67,68,70,71,73,75,75,76,77,78,78,80,81,82,82
571,12,13,15,17,17,17,17,17,18,19,19,20,21,23,24,37,39,39,40,42,42,44,44,46,48,48,63,71,73,75,77,78,85,87,87
572,4,5,6,6,7,7,7,7,7,7,7,7,8,10,11,13,13,18,19,24,26,27,27,28,29,31,32,37,38,38,40,40,41,43,43
573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,4,5,6,7,7,8,10,12,12
574,1,1,1,2,4,5,6,7,7,8,9,10,10,10,10,10,10,10,10,10,10,10,10,10,11,16,17,18,22,33,33,33,33,38,38
575,6,13,14,14,14,20,22,22,31,32,33,34,34,36,37,41,57,58,59,61,62,64,65,67,68,69,69,69,69,70,70,71,75,76,76
576,13,15,17,24,33,36,38,40,42,50,52,54,59,67,69,71,76,78,86,88,97,97,99,108,115,121,126,128,130,135,135,141,149,157,157
577,12,14,26,28,30,32,33,35,37,45,47,52,52,54,67,68,70,82,93,106,108,109,117,119,127,129,141,149,154,156,163,165,166,174,175
578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,3,3,3,3,3,3,3,7,7,9,9,15
579,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
580,0,1,1,2,3,3,4,5,5,6,7,7,7,12,13,15,16,17,17,18,18,20,20,20,21,21,21,22,22,23,23,23,25,26,26
581,9,11,12,21,41,52,52,52,59,59,67,67,75,77,79,79,85,86,102,104,105,111,116,133,139,141,162,167,169,169,169,169,169,169,169
582,1,2,11,23,29,29,34,47,48,49,54,62,66,71,74,75,75,74,74,76,77,77,77,77,77,77,77,78,79,84,84,92,92,101,108
583,NA,0,0,0,0,0,0,0,0,0,0,1,2,3,3,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
