"index","round_1","round_2","round_3","round_4","round_5","round_6","round_7","round_8","round_9","round_10","round_11","round_12","round_13","round_14","round_15","round_16","round_17","round_18","round_19","round_20","round_21","round_22","d_round_22","round_23","round_24","round_25","round_26","round_27","round_28","round_29","round_30","round_31","round_32","round_33","round_34","d_round_34","round_35","round_36","round_37","d_round_37","round_38"
114,"H","A","H","A","H","A","H","A","H","A","H","A","A","H","H","A","A","H","A","H","H","A","","H","A","H","A","H","A","A","H","","H","H","A","A","","A","H","H","A"
115,"H","A","H","A","H","A","A","H","A","H","A","H","H","A","A","H","H","A","A","H","H","A","","H","A","A","H","A","H","H","A","A","H","A","H","","A","H","A","","H"
116,"H","A","H","A","H","A","A","H","A","H","A","H","H","A","A","H","H","A","A","H","H","A","","H","A","A","H","A","H","H","A","A","H","A","H","","A","H","A","","H"
117,"H","A","H","A","H","A","A","H","A","H","A","H","H","A","A","H","H","A","A","H","H","A","","H","A","A","H","A","H","H","A","A","H","A","H","","A","H","A","","H"
118,"H","A","H","A","H","A","A","H","A","H","A","H","H","A","A","H","H","A","A","H","H","A","","H","A","A","H","A","H","H","A","A","H","A","H","","A","H","A","","H"
119,"H","A","H","A","H","A","A","H","A","H","A","H","H","A","A","H","H","A","A","H","H","A","","H","A","A","H","A","H","H","A","A","H","A","H","","A","H","A","","H"
120,"H","A","H","A","H","A","A","H","A","H","A","H","H","A","A","H","H","A","A","H","H","A","","H","A","A","H","A","H","H","A","A","H","A","H","","A","H","A","","H"
121,"H","A","H","A","H","A","A","H","A","H","A","H","H","A","A","H","H","A","A","H","H","A","","H","A","A","H","A","H","H","A","A","H","A","H","","A","H","A","","H"
122,"H","A","H","A","H","A","A","H","A","H","A","H","H","A","A","H","H","A","A","H","H","A","","H","A","A","H","A","H","H","A","A","H","A","H","","A","H","A","","H"
123,"H","A","H","A","H","A","A","H","A","H","A","H","H","A","A","H","H","A","A","H","H","A","","H","A","A","H","A","H","H","A","A","H","A","H","","A","H","A","","H"
124,"H","A","H","A","H","A","A","H","A","H","A","H","H","A","A","H","H","A","A","H","H","A","","H","A","A","H","A","H","H","A","A","H","A","H","","A","H","A","","H"
125,"H","A","H","A","H","A","A","H","A","H","A","H","H","A","A","H","H","A","A","H","H","A","","H","A","A","H","A","H","H","A","A","H","A","H","","A","H","A","","H"
126,"H","A","H","A","H","A","A","H","A","H","A","H","H","A","A","H","H","A","A","H","H","A","","H","A","A","H","A","H","H","A","A","H","A","H","","A","H","A","","H"
127,"H","A","A","H","A","H","H","A","H","A","H","A","A","H","H","A","A","H","H","A","A","H","","A","H","H","A","H","A","A","H","A","H","H","A","","H","A","H","","A"
128,"H","A","A","H","A","H","H","A","H","A","H","A","A","H","H","A","A","H","H","A","A","H","","A","H","H","A","H","A","A","H","A","H","H","A","","H","A","H","","A"
129,"H","A","A","H","A","H","H","A","H","A","H","A","A","H","H","A","A","H","H","A","A","H","","A","H","H","A","H","A","A","H","A","H","H","A","","H","A","H","","A"
130,"H","A","A","H","A","H","H","A","H","A","H","A","A","H","H","A","A","H","H","A","A","H","","A","H","H","A","H","A","A","H","A","H","H","A","","H","A","H","","A"
131,"H","A","A","H","A","H","H","A","H","A","H","A","A","H","H","A","A","H","H","A","A","H","","A","H","H","A","H","A","A","H","A","H","H","A","","H","A","H","","A"
132,"H","A","A","H","A","H","H","A","H","A","H","A","A","H","H","A","A","H","H","A","A","H","","A","H","H","A","H","A","A","H","A","H","H","A","","H","A","H","","A"
133,"H","A","A","H","A","H","H","A","H","A","H","A","A","H","H","A","A","H","H","A","A","H","","A","H","H","A","H","A","A","H","A","H","H","A","","H","A","H","","A"
134,"H","A","A","H","A","H","H","A","H","A","H","A","A","H","H","A","A","H","H","A","A","H","","A","H","H","A","H","A","A","H","A","H","H","A","","H","A","H","","A"
135,"H","A","A","H","A","H","H","A","H","A","H","A","A","H","H","A","A","H","H","A","A","H","","A","H","H","A","H","A","A","H","A","H","H","A","","H","A","H","","A"
136,"H","A","A","H","A","H","H","A","H","A","H","A","A","H","H","A","A","H","H","A","A","H","","A","H","H","A","H","A","A","H","A","H","H","A","","H","A","H","","A"
137,"H","A","A","H","A","H","H","A","H","A","H","A","A","H","H","A","A","H","H","A","A","H","","A","H","H","A","H","A","A","H","A","H","H","A","","H","A","H","","A"
138,"A","H","H","A","H","A","H","A","H","A","H","A","H","A","A","H","H","A","A","H","H","A","","H","A","H","A","H","A","A","H","H","A","A","H","","","H","A","A","H"
139,"A","H","H","A","H","A","H","A","H","A","H","A","H","A","A","H","H","A","A","H","H","A","","H","A","H","A","H","A","A","H","H","A","A","H","","","H","A","A","H"
140,"A","H","H","A","H","A","H","A","H","A","H","A","H","A","A","H","H","A","A","H","H","A","","H","A","H","A","H","A","A","H","H","A","A","H","","","H","A","A","H"
141,"A","H","H","A","H","A","H","A","H","A","H","A","H","A","A","H","H","A","A","H","H","A","","H","A","H","A","H","A","A","H","H","A","A","H","","","H","A","A","H"
142,"A","H","H","A","H","A","H","A","H","A","H","A","H","A","A","H","H","A","A","H","H","A","","H","A","H","A","H","A","A","H","H","A","A","H","","","H","A","A","H"
143,"A","H","H","A","H","A","H","A","H","A","H","A","H","A","A","H","H","A","A","H","H","A","","H","A","H","A","H","A","A","H","H","A","A","H","","","H","A","A","H"
144,"A","H","H","A","H","A","H","A","H","A","H","A","H","A","A","H","H","A","A","H","H","A","","H","A","H","A","H","A","A","H","H","A","A","H","","","H","A","A","H"
145,"A","H","H","A","H","A","H","A","H","A","H","A","H","A","A","H","H","A","A","H","H","A","","H","A","H","A","H","A","A","H","H","A","A","H","","","H","A","A","H"
146,"A","H","H","A","H","A","H","A","H","A","H","A","H","A","A","H","H","A","A","H","H","A","","H","A","H","A","H","A","A","H","H","A","A","H","","","H","A","A","H"
147,"A","H","H","A","H","A","H","A","H","A","H","A","H","A","A","H","H","A","A","H","H","A","","H","A","H","A","H","A","A","H","H","A","A","H","","","H","A","A","H"
148,"A","H","H","A","H","A","H","A","H","A","H","A","H","A","A","H","H","A","A","H","H","A","","H","A","H","A","H","A","A","H","H","A","A","H","","","H","A","A","H"
149,"A","H","A","H","A","H","A","H","A","H","A","H","A","H","H","A","A","H","H","A","A","H","","A","H","A","H","A","H","H","A","","A","H","A","H","","A","H","H","A"
150,"A","H","A","H","A","H","A","H","A","H","A","H","A","H","H","A","A","H","H","A","A","H","","A","H","A","H","A","H","H","A","","A","H","A","H","","A","H","H","A"
151,"A","H","A","H","A","H","A","H","A","H","A","H","A","H","H","A","A","H","H","A","A","H","","A","H","A","H","A","H","H","A","","A","H","A","H","","A","H","H","A"
152,"A","H","A","H","A","H","A","H","A","H","A","H","A","H","H","A","A","H","H","A","A","H","","A","H","A","H","A","H","H","A","","A","H","A","H","","A","H","H","A"
153,"A","H","A","H","A","H","A","H","A","H","A","H","A","H","H","A","A","H","H","A","A","H","","A","H","A","H","A","H","H","A","","A","H","A","H","","A","H","H","A"
154,"A","H","A","H","A","H","A","H","A","H","A","H","A","H","H","A","A","H","H","A","A","H","","A","H","A","H","A","H","H","A","","A","H","A","H","","A","H","H","A"
155,"A","H","A","H","A","H","A","H","A","H","A","H","A","H","H","A","A","H","H","A","A","H","","A","H","A","H","A","H","H","A","","A","H","A","H","","A","H","H","A"
156,"A","H","A","H","A","H","A","H","A","H","A","H","A","H","H","A","A","H","H","A","A","H","","A","H","A","H","A","H","H","A","","A","H","A","H","","A","H","H","A"
157,"A","H","H","A","H","A","A","H","A","H","A","H","H","A","A","H","H","A","A","H","H","A","","H","A","A","H","A","H","H","A","H","A","A","H","","A","H","A","","H"
158,"A","H","H","A","H","A","A","H","A","H","A","H","H","A","A","H","H","A","A","H","H","A","","H","A","A","H","A","H","H","A","H","A","A","H","","A","H","A","","H"
