"index","round_5","round_6","round_7","round_8","round_9","round_10","round_11","round_12","round_13","round_14","round_15","round_16","round_17","round_18","round_19","round_20","round_21","round_22","round_23","round_24","round_25","round_26","round_27","round_28","round_29","round_30","round_31","round_32","round_33","round_34","round_35","round_36","round_37"
542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
546,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5
547,0,0,0,0,0,0,1,1,2,2,5,5,6,7,7,7,9,9,10,12,13,13,14,16,16,16,18,21,24,24,24,24,24
548,8,11,12,14,15,19,20,20,22,23,26,27,27,30,34,36,39,41,41,41,45,47,49,49,49,50,52,55,57,58,59,59,63
549,9,9,10,10,10,12,14,14,17,19,20,20,22,24,24,24,25,27,29,35,37,39,40,42,42,42,44,47,51,51,51,53,54
550,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,4
551,5,5,7,8,8,10,10,10,12,15,17,17,19,19,19,21,22,24,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
552,0,0,0,0,0,0,0,1,1,3,4,4,6,6,7,9,9,11,11,13,14,15,15,17,17,19,19,19,22,24,24,26,27
553,6,6,7,10,11,11,13,17,19,19,20,21,21,21,21,21,21,22,22,22,22,22,24,24,24,26,26,26,28,28,28,30,34
554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
