"round_1","round_2","round_3","round_4","round_5","round_6","round_7","round_8","round_9","round_10","round_11","round_12","round_13","round_14","round_15","round_16","round_17","round_18","round_19","round_20","round_21","round_22","round_23","round_24","round_25","round_26","round_27","round_28","round_29","round_30","round_31","round_32","round_33","round_34","round_35","round_36","round_37","round_38"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,NA,3.17641628426118,1.66896768563083,0.4392300312254,1.31145258159703,1.28968012820648,5.46297124574165,4.06344622148702,6.55556051584057,2.50281435630727,1.0200678021628,0.815993249135365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64200459739505,5.65678548043936,10.5017441610731,5.17492909885085
NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0.554367330587977,2.68200264645884,1.90999355795355,2.64756709301019,4.22047050905356,4.44612519550091,5.0681970850504,6.29008361346537,3.78451486912068,2.82615721127592,4.08444131207291,1.93618508037876,2.47259410549303,1.26886912157836,2.89077503887058,1.01633758563658,5.25727240724413,2.93017577540604,2.87733953973447,1.75482357689849,2.0708493826505,3.28037767860489,1.44502057583008,0.380061501322636,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,3.17267055917926,2.42989956855889,2.29252102789523,3.69897536933617,7.51279776632037,8.0674097527767,3.77558776145486,4.62856256295614,2.42650915368429,1.49596329148673,0.480344913607508,0,1.36616468165007,1.56368707476084,2.92387083055599,3.38872817584301,3.65779305688115,3.30356189592013,2.80857787262521,0.351057483413021,0.212946075738394,0.739863629244312,1.67008693608187,1.63701590764461,2.63100129631045,0.391573868889629,0.458529031605356,0.461756318896798,2.70189772568071,1.61865921621428,2.5580702617481,2.15847804041885,2.14968970036367,3.53518346130612,6.15724242485246
NA,NA,NA,NA,NA,NA,NA,1.23693002618667,1.24243430530667,1.5748604672856,1.7157992246956,2.89157445492,2.0241849370116,1.32734383356213,2.0661663644776,3.72910024922667,4.1285903644656,2.26411999019253,2.21045443578667,3.1336844946,2.5630750661328,6.2126583199496,8.36186709319973,2.8898502466152,2.9229406294,2.39228348070987,2.3449115305968,2.9097074862464,0,0,0,0,0,0,2.3833520317488,3.7142384960992,6.3366093807456,2.67312545541067
NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.210163265256401,0.342897959102549,0.210163265256401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.210163265256401,1.09452877659765,1.1217196508025,1.11606536853236,1.08364345201453,2.60612004799256,2.72546909445848,2.86439020258377,4.68600993469113,3.21402181813635,1.73110353290195,1.11790437657858,0.247847168467492,0.245292043019374,0,0,0,0.243052129324034,3.46308165846761,2.30386583191478,3.66474633750468,1.91451874215906,1.65324519308162,2.3172955126,0
NA,NA,NA,2.7661094815993,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.720118518570612,0.436949333364942,0.432535703734993,6.43227636117298,9.1722559627682
