FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Carl,Jenkinson,DEF,ARS,4500000,0,0,0,0,0,0,13651,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0.2,746,0,0,0,0,0,1,0,0,0,Man Utd,Burnley,Leicester,Huddersfield,,0,0,0,0
,Jese,MID,STK,5400000,0,31,0.885714285714286,1.64021164021164E-07,5.74074074074074E-06,0,589841,0,17,0,0,0,1,0,5.7,60,-6,0,31,6,0,0,0,2,0,1,0,1,2,579491,0,0,0,1,609,13,0,0,93,Liverpool,Crystal Palace,Swansea,,,0.4,0.4,0.4,40.8
,Jesus,FWD,MCI,10300000,7,108,4.3,4.1747572815534E-07,1.04854368932039E-05,0,2387389,5,10,0,0,0,11,0,10.6,10318,-2,-1,108,2,0.6,2,6,14,0,8,0,7,13.2,2478576,0,0,0,2,1378,38107,1,0,380,West Ham,Huddersfield,Brighton,Southampton,,4.5,11.5,5.1,175.8
,Joao Mario,MID,WHU,6000000,1,29,0.852941176470588,1.42156862745098E-07,4.83333333333333E-06,0,14596,0,13,0,0,0,1,0,4.8,322,-5,0,29,5,0.6,0,3.8,2,0,2,0,1,0.1,21247,0,0,0,1,726,98,0,0,112,Man City,Leicester,Man Utd,Everton,,0.4,0.8,0.6,44.5
,Joel Pereira,GLK,MUN,3900000,0,0,0,0,0,0,196349,0,0,0,0,0,0,0,0,1168,-1,0,0,1,0,0,0,0,0,0,0,0,4.2,414332,0,0,0,0,0,801,0,0,0,Arsenal,Brighton,West Ham,Watford,,0,0,0,0
Ben,Johnson,MID,WHU,4400000,0,0,0,0,0,0,839,0,0,0,0,0,0,0,0,16,-1,0,0,1,0,0,0,0,0,0,0,0,0,1240,0,0,0,0,0,15,0,0,0,Man City,Leicester,Man Utd,Everton,,0,0,0,0
Glen,Johnson,DEF,STK,4100000,1,4,0.114285714285714,2.78745644599303E-08,9.75609756097561E-07,0,36041,2,13,0,0,0,0,0,1,91,-4,0,4,4,0.1,0,0.3,0,0,0,0,0,0.3,12064,0,0,0,0,470,54,0,0,62,Liverpool,Crystal Palace,Swansea,,,0.1,0.1,0.1,16.6
Curtis,Jones,MID,LIV,4500000,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,5,0,0,0,Stoke,Chelsea,Brighton,,,0,0,0,0
Phil,Jones,DEF,MUN,5500000,0,109,5,9.09090909090909E-07,1.98181818181818E-05,0,1931001,2,11,0,0,0,0,0,19.8,1444,5,0,109,-5,0.4,0,2,18,0,14,0,0,5.4,2062717,1,0,0,2,1883,3733,0,0,524,Arsenal,Brighton,West Ham,Watford,,7.2,11.3,7.4,52
,Jordan Ayew,FWD,SWA,5300000,2,100,3.1,5.84905660377358E-07,1.88679245283019E-05,0,1119304,2,44,0,0,0,7,0,18.9,3159,3,0,100,-3,0.4,0,2.3,12,0,7,0,2,6.3,1316275,0,0,0,0,2490,8038,0,1,364,Chelsea,Bournemouth,Southampton,Stoke,,2.7,6.5,3.8,162
,Joselu,FWD,NEW,5500000,0,66,1.94117647058824,3.52941176470588E-07,1.2E-05,0,171180,2,25,0,0,0,4,0,12,123,0,0,66,0,0.1,1,0.5,5,0,5,0,1,0.4,171702,0,0,0,0,1635,72,0,0,217,West Brom,Watford,Tottenham,Chelsea,,1.9,2.2,1.3,103.8
Christian,Kabasele,DEF,WAT,4400000,7,65,2.6,5.90909090909091E-07,1.47727272727273E-05,0,186030,4,40,0,0,0,2,0,14.8,150,-1,0,65,1,0.4,0,1.8,2,0,6,0,0,0.5,202763,1,0,0,1,2129,176,0,0,380,Tottenham,Newcastle,Man Utd,,,2,2.4,1.7,76.3
Younes,Kaboul,DEF,WAT,4200000,0,7,3.5,8.33333333333333E-07,1.66666666666667E-06,0,23428,0,3,0,0,0,0,0,1.7,6,-3,0,7,3,0,0,0,0,0,1,0,0,0.1,3568,0,0,0,0,151,2,0,0,35,Tottenham,Newcastle,Man Utd,,,0,0,0,5
Elias,Kachunga,MID,HUD,5700000,0,46,2.4,4.21052631578947E-07,8.07017543859649E-06,0,27093,1,23,0,0,0,1,0,8.1,11,-3,0,46,3,0.1,0,0.3,0,0,6,0,1,0.1,14100,0,0,0,0,1327,3,0,0,151,Everton,Man City,Chelsea,Arsenal,,0,0,0,54.5
Sullay,Kaikai,MID,CRY,4300000,0,1,1,2.32558139534884E-07,2.32558139534884E-07,0,12159,0,0,0,0,0,0,0,0.2,1,-2,0,1,2,0,0,0,0,0,0,0,0,0.1,13265,0,0,0,0,13,0,0,0,5,Leicester,Stoke,West Brom,,,0,0,0,0.6
