FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Rob,Holding,DEF,ARS,4500000,0,12,0.461538461538462,1.02564102564103E-07,2.66666666666667E-06,0,105907,2,12,0,0,0,0,0,2.7,492,-5,0,12,5,0.1,0,0.3,0,0,1,0,1,0.6,24973,0,0,0,0,443,119,0,0,101,Tottenham,Man City,Brighton,Watford,Leicester,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,15.4
Jose,Holebas,DEF,WAT,4800000,2,42,2.5,5.20833333333333E-07,8.75E-06,0,62219,4,29,0,0,0,0,0,8.8,150,-2,0,42,2,0.4,0,1.8,3,0,3,0,3,0.4,50003,0,0,0,0,1391,244,0,0,243,West Ham,Everton,West Brom,Arsenal,Liverpool,2.4,2,2.4,2,2.1,1.9,2.4,2,3.5,1.9,2,1.7,74.3
Mason,Holgate,DEF,EVE,4200000,0,35,1.34615384615385,3.20512820512821E-07,8.33333333333333E-06,0,157358,3,14,0,0,0,0,0,8.3,4185,-3,1,35,3,0.1,0,0.5,0,0,4,0,0,1.8,186071,0,0,0,0,1170,724,-1,0,208,Crystal Palace,Watford,Burnley,Brighton,Stoke,1.7,0.8,0.7,1.2,0.7,0.8,1,0.7,0.8,0.7,1,0.7,48.5
Mark,Hudson,DEF,HUD,4000000,0,0,0,0,0,0,18256,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0.1,1201,0,0,0,0,0,9,0,0,0,Bournemouth,West Brom,Tottenham,Swansea,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0
Callum,Hudson-Odoi,MID,CHE,4500000,0,1,0.0384615384615385,8.54700854700855E-09,2.22222222222222E-07,0,137,0,1,0,0,0,0,0,0.2,26,0,0,1,0,0.1,0,0.3,0,0,0,0,0,0,343,0,0,0,0,25,44,0,0,8,West Brom,Man Utd,Man City,Crystal Palace,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,3.5
Will,Hughes,MID,WAT,4600000,0,26,1,2.17391304347826E-07,5.65217391304348E-06,0,72681,0,6,0,0,0,2,0,5.7,275,-4,0,26,4,0,0,0,3,0,2,0,1,0.2,64570,0,0,0,1,323,16,0,0,89,West Ham,Everton,West Brom,Arsenal,Liverpool,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,30.3
Jordan,Hugill,FWD,WHU,5500000,1,1,0.0384615384615385,6.99300699300699E-09,1.81818181818182E-07,0,116,0,0,0,0,0,0,0,0.2,68,0,0,1,0,0.2,0,1,0,0,0,0,0,0,1302,0,0,0,0,10,174,0,0,3,Watford,Liverpool,Swansea,Burnley,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0
Uwe,Hunemeier,DEF,BHA,3900000,0,1,0.0384615384615385,9.86193293885602E-09,2.56410256410256E-07,0,374171,0,1,0,0,0,0,0,0.3,2619,-1,0,1,1,0,0,0,0,0,0,0,0,6,317899,0,0,0,0,17,1468,0,0,5,Stoke,Swansea,Arsenal,Everton,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0.9
Robert,Huth,DEF,LEI,4800000,0,0,0,0,0,0,4982,0,0,0,0,0,0,0,0,42,-2,0,0,2,0,0,0,0,0,0,0,0,0.1,1593,0,0,0,0,0,56,0,0,0,Man City,Stoke,Bournemouth,West Brom,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0
Emerson,Hyndman,MID,BOU,4500000,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,1,0,0,0,Huddersfield,Newcastle,Leicester,Tottenham,West Brom,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordon,Ibe,MID,BOU,4900000,5,66,2.8,5.71428571428571E-07,1.3469387755102E-05,0,56396,1,23,0,0,0,1,0,13.5,2930,-1,-1,66,1,1.2,0,5.8,2,0,4,0,6,1.8,130584,0,0,0,0,1524,15257,1,0,234,Huddersfield,Newcastle,Leicester,Tottenham,West Brom,2.2,2.6,2,2.2,3,2.1,2.5,1.5,2.1,2.2,2.6,2.1,127.9
Vicente,Iborra,MID,LEI,5700000,0,35,1.34615384615385,2.36167341430499E-07,6.14035087719298E-06,0,10708,0,15,0,0,0,1,0,6.1,71,-3,0,35,3,0.1,0,0.3,2,0,2,0,0,0.1,4380,0,0,0,0,1055,23,0,0,199,Man City,Stoke,Bournemouth,West Brom,Arsenal,0.7,0.8,0.9,0.7,0.9,0.7,0.8,0.7,0.7,0.7,0.9,0.7,38.7
Zlatan,Ibrahimovic,FWD,MUN,9500000,0,5,1,1.05263157894737E-07,5.26315789473684E-07,0,38836,0,2,0,0,0,0,0,0.5,121,-5,0,5,5,0,0,0,0,0,0,0,0,0.2,37795,0,0,0,0,102,35,0,0,18,Newcastle,Chelsea,Crystal Palace,Liverpool,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,12.6
